parl_id,legislatura,weights,nome,siglaPartido,siglaUf,F,M,branca,n_branca,parda,preta,amarela,indigena
129617,52,0.3357821170990963,AMADOR TUT,PL*,MT,0,1,0,0,0,0,0,0
129617,52,0.3357821170990963,AMADOR TUT,PR,MT,0,1,0,0,0,0,0,0
74260,52,0.3357821170990963,AMAURI GASQUES,PRONA,SP,0,1,0,0,0,0,0,0
74260,52,0.3357821170990963,AMAURI GASQUES,PL*,SP,0,1,0,0,0,0,0,0
74260,52,0.3357821170990963,AMAURI GASQUES,PR,SP,0,1,0,0,0,0,0,0
74260,52,0.3357821170990963,AMAURI ROBLEDO GASQUES,PRONA,SP,0,1,0,0,0,0,0,0
74260,52,0.3357821170990963,AMAURI ROBLEDO GASQUES,PL*,SP,0,1,0,0,0,0,0,0
74260,52,0.3357821170990963,AMAURI ROBLEDO GASQUES,PR,SP,0,1,0,0,0,0,0,0
133440,52,4.015394483643361,ANA ALENCAR,PSDB,TO,1,0,0,0,0,0,0,0
133440,52,4.015394483643361,ANA ALENCAR,PL*,TO,1,0,0,0,0,0,0,0
133440,52,4.015394483643361,ANA ALENCAR,PSDB,TO,1,0,0,0,0,0,0,0
134115,52,4.015394483643361,ANA GUERRA,PT,MG,1,0,0,0,0,0,0,0
74146,52,0.3357821170990963,ANDERSON ADAUTO,PL*,MG,0,1,1,0,0,0,0,0
133377,52,0.3357821170990963,ANDRÉ COSTA,PT,RJ,0,1,1,0,0,0,0,0
133377,52,0.3357821170990963,ANDRÉ COSTA,S.PART.,RJ,0,1,1,0,0,0,0,0
133377,52,0.3357821170990963,ANDRÉ COSTA,PDT,RJ,0,1,1,0,0,0,0,0
74471,52,0.3357821170990963,ANDRÉ DE PAULA,PFL,PE,0,1,1,0,0,0,0,0
133439,52,0.3357821170990963,ANDRÉ FIGUEIREDO,PDT,CE,0,1,1,0,0,0,0,0
74168,52,0.3357821170990963,ANDRÉ LUIZ,PMDB,RJ,0,1,0,0,0,0,0,0
74168,52,0.3357821170990963,ANDRÉ LUIZ,S.PART.,RJ,0,1,0,0,0,0,0,0
74377,52,0.3357821170990963,ANDRÉ ZACHAROW,PDT,PR,0,1,1,0,0,0,0,0
74377,52,0.3357821170990963,ANDRÉ ZACHAROW,PP**,PR,0,1,1,0,0,0,0,0
74377,52,0.3357821170990963,ANDRÉ ZACHAROW,PSB,PR,0,1,1,0,0,0,0,0
74377,52,0.3357821170990963,ANDRÉ ZACHAROW,S.PART.,PR,0,1,1,0,0,0,0,0
74377,52,0.3357821170990963,ANDRÉ ZACHAROW,PMDB,PR,0,1,1,0,0,0,0,0
74699,52,4.015394483643361,ANGELA GUADAGNIN,PT,SP,1,0,1,0,0,0,0,0
74212,52,2.8621344797247104,ANÍBAL GOMES,PMDB,CE,0,1,0,1,1,0,0,0
74072,52,0.3357821170990963,ANIVALDO VALE,PSDB,PA,0,1,1,0,0,0,0,0
73928,52,4.015394483643361,ANN PONTES,PMDB,PA,1,0,0,0,0,0,0,0
73937,52,0.3357821170990963,ANSELMO,PT,RO,0,1,1,0,0,0,0,0
73937,52,0.3357821170990963,ANSELMO DE JESUS,PT,RO,0,1,1,0,0,0,0,0
133371,52,0.3357821170990963,ANTENOR NASPOLINI,PSDB,CE,0,1,0,0,0,0,0,0
74452,52,0.3357821170990963,ANTONIO CAMBRAIA,PSDB,CE,0,1,0,0,0,0,0,0
74373,52,0.3357821170990963,ANTÔNIO CARLOS BIFFI,PT,MS,0,1,1,0,0,0,0,0
73492,52,0.3357821170990963,ANTONIO CARLOS BISCAIA,PT,RJ,0,1,1,0,0,0,0,0
73492,52,0.3357821170990963,BISCAIA,PT,RJ,0,1,1,0,0,0,0,0
74058,52,2.8621344797247104,ANTONIO CARLOS MAGALHÃES NETO,PFL,BA,0,1,0,1,1,0,0,0
73584,52,0.3357821170990963,ANTONIO CARLOS MENDES THAME,PSDB,SP,0,1,1,0,0,0,0,0
73431,52,0.3357821170990963,ANTONIO CARLOS PANNUNZIO,PSDB,SP,0,1,0,0,0,0,0,0
73817,52,2.8621344797247104,ANTONIO CRUZ,PTB,MS,0,1,0,1,1,0,0,0
73817,52,2.8621344797247104,ANTONIO CRUZ,PP**,MS,0,1,0,1,1,0,0,0
74194,52,0.3357821170990963,ANTONIO JOAQUIM,PPB,MA,0,1,0,0,0,0,0,0
74194,52,0.3357821170990963,ANTONIO JOAQUIM,PP**,MA,0,1,0,0,0,0,0,0
74194,52,0.3357821170990963,ANTONIO JOAQUIM,PTB,MA,0,1,0,0,0,0,0,0
74194,52,0.3357821170990963,ANTONIO JOAQUIM,PSDB,MA,0,1,0,0,0,0,0,0
73927,52,0.3357821170990963,ANTONIO NOGUEIRA,PT,AP,0,1,0,0,0,0,0,0
74648,52,0.3357821170990963,ARACELY DE PAULA,PFL,MG,0,1,1,0,0,0,0,0
74648,52,0.3357821170990963,ARACELY DE PAULA,PL*,MG,0,1,1,0,0,0,0,0
74648,52,0.3357821170990963,ARACELY DE PAULA,PR,MG,0,1,1,0,0,0,0,0
74103,52,0.3357821170990963,ARIOSTO HOLANDA,PSDB,CE,0,1,1,0,0,0,0,0
