id,idLegislatura,F,M,branca,n_branca,parda,preta,amarela,indigena
74467,51,0,1,0,1,0,1,0,0
74654,51,0,1,0,0,0,0,0,0
74187,51,0,1,0,0,0,0,0,0
73891,51,0,1,1,0,0,0,0,0
73554,51,0,1,0,0,0,0,0,0
73445,51,0,1,0,0,0,0,0,0
74347,51,0,1,0,0,0,0,0,0
73768,51,0,1,1,0,0,0,0,0
74679,51,0,1,0,0,0,0,0,0
73685,51,0,1,1,0,0,0,0,0
74476,51,0,1,0,0,0,0,0,0
74188,51,1,0,1,0,0,0,0,0
74468,51,0,1,0,1,1,0,0,0
74343,51,0,1,0,0,0,0,0,0
74705,51,0,1,1,0,0,0,0,0
73828,51,0,1,1,0,0,0,0,0
74680,51,0,1,0,0,0,0,0,0
74779,51,0,1,0,1,1,0,0,0
73459,51,0,1,1,0,0,0,0,0
73446,51,0,1,0,0,0,0,0,0
74682,51,0,1,1,0,0,0,0,0
73447,51,0,1,1,0,0,0,0,0
73793,51,0,1,1,0,0,0,0,0
73599,51,0,1,0,0,0,0,0,0
73794,51,0,1,1,0,0,0,0,0
74580,51,0,1,0,0,0,0,0,0
73827,51,0,1,0,0,0,0,0,0
74655,51,0,1,1,0,0,0,0,0
74416,51,0,1,1,0,0,0,0,0
73448,51,0,1,1,0,0,0,0,0
74683,51,0,1,1,0,0,0,0,0
74344,51,0,1,0,1,1,0,0,0
74407,51,0,1,0,0,0,0,0,0
74075,51,1,0,1,0,0,0,0,0
74656,51,0,1,0,0,0,0,0,0
74198,51,0,1,0,0,0,0,0,0
74657,51,0,1,0,0,0,0,0,0
73980,51,0,1,1,0,0,0,0,0
74704,51,0,1,1,0,0,0,0,0
73470,51,0,1,0,0,0,0,0,0
73893,51,0,1,1,0,0,0,0,0
74408,51,0,1,1,0,0,0,0,0
74540,51,0,1,0,0,0,0,0,0
73894,51,1,0,0,0,0,0,0,0
74541,51,0,1,0,0,0,0,0,0
74807,51,0,1,0,0,0,0,0,0
74091,51,0,1,0,0,0,0,0,0
74454,51,0,1,0,1,1,0,0,0
74840,51,0,1,0,0,0,0,0,0
74099,51,0,1,0,0,0,0,0,0
74345,51,0,1,0,1,0,1,0,0
74100,51,0,1,0,1,1,0,0,0
73895,51,0,1,0,0,0,0,0,0
74065,51,1,0,1,0,0,0,0,0
74542,51,0,1,0,0,0,0,0,0
73471,51,0,1,1,0,0,0,0,0
74658,51,0,1,0,0,0,0,0,0
74417,51,0,1,1,0,0,0,0,0
74841,51,0,1,0,0,0,0,0,0
74842,51,0,1,1,0,0,0,0,0
74843,51,0,1,1,0,0,0,0,0
73481,51,0,1,1,0,0,0,0,0
73451,51,0,1,0,0,0,0,0,0
73896,51,0,1,1,0,0,0,0,0
74771,51,0,1,0,0,0,0,0,0
73990,51,0,1,0,0,0,0,0,0
73771,51,0,1,1,0,0,0,0,0
73758,51,0,1,0,0,0,0,0,0
74199,51,0,1,0,1,1,0,0,0
74844,51,0,1,1,0,0,0,0,0
74355,51,0,1,0,0,0,0,0,0
73981,51,0,1,0,1,1,0,0,0
74845,51,0,1,0,0,0,0,0,0
73597,51,0,1,1,0,0,0,0,0
74565,51,0,1,0,0,0,0,0,0
73452,51,0,1,0,0,0,0,0,0
74189,51,0,1,1,0,0,0,0,0
74200,51,0,1,0,1,1,0,0,0
74544,51,0,1,1,0,0,0,0,0
74659,51,0,1,0,0,0,0,0,0
74808,51,0,1,0,0,0,0,0,0
74802,51,0,1,1,0,0,0,0,0
74566,51,0,1,1,0,0,0,0,0
73897,51,0,1,1,0,0,0,0,0
74567,51,0,1,0,1,1,0,0,0
74076,51,0,1,0,1,1,0,0,0
73472,51,0,1,1,0,0,0,0,0
72553,51,0,1,1,0,0,0,0,0
73917,51,0,1,1,0,0,0,0,0
74778,51,0,1,1,0,0,0,0,0
74581,51,0,1,0,1,0,1,0,0
74077,51,0,1,1,0,0,0,0,0
74558,51,0,1,1,0,0,0,0,0
74582,51,0,1,1,0,0,0,0,0
74419,51,0,1,1,0,0,0,0,0
73913,51,0,1,0,0,0,0,0,0
73460,51,0,1,1,0,0,0,0,0
73691,51,0,1,0,0,0,0,0,0
74545,51,0,1,0,0,0,0,0,0
73582,51,0,1,0,0,0,0,0,0
74583,51,0,1,0,0,0,0,0,0
74324,51,0,1,1,0,0,0,0,0
73482,51,0,1,1,0,0,0,0,0
97707,51,0,1,1,0,0,0,0,0
74660,51,0,1,1,0,0,0,0,0
73772,51,0,1,1,0,0,0,0,0
74361,51,0,1,0,0,0,0,0,0
73795,51,0,1,1,0,0,0,0,0
74780,51,1,0,1,0,0,0,0,0
74325,51,0,1,0,0,0,0,0,0
74663,51,0,1,0,0,0,0,0,0
74684,51,0,1,0,1,1,0,0,0
74443,51,0,1,0,0,0,0,0,0
74362,51,0,1,0,0,0,0,0,0
74295,51,0,1,0,1,1,0,0,0
74469,51,0,1,1,0,0,0,0,0
74421,51,0,1,0,0,0,0,0,0
73461,51,0,1,0,0,0,0,0,0
74846,51,0,1,0,0,0,0,0,0
74562,51,0,1,0,0,0,0,0,0
73531,51,0,1,1,0,0,0,0,0
73570,51,0,1,0,0,0,0,0,0
74001,51,0,1,0,0,0,0,0,0
74665,51,0,1,1,0,0,0,0,0
74847,51,0,1,1,0,0,0,0,0
73532,51,0,1,0,0,0,0,0,0
74546,51,0,1,0,0,0,0,0,0
74547,51,0,1,1,0,0,0,0,0
74848,51,1,0,1,0,0,0,0,0
74548,51,0,1,1,0,0,0,0,0
73900,51,0,1,0,0,0,0,0,0
73918,51,0,1,1,0,0,0,0,0
74549,51,0,1,0,0,0,0,0,0
73919,51,0,1,0,0,0,0,0,0
74559,51,0,1,1,0,0,0,0,0
74131,51,0,1,0,0,0,0,0,0
74445,51,0,1,1,0,0,0,0,0
74422,51,0,1,0,0,0,0,0,0
74772,51,0,1,1,0,0,0,0,0
73682,51,0,1,1,0,0,0,0,0
74667,51,0,1,0,0,0,0,0,0
73454,51,0,1,0,1,0,1,0,0
74316,51,0,1,0,0,0,0,0,0
74781,51,0,1,0,0,0,0,0,0
74550,51,0,1,1,0,0,0,0,0
74120,51,0,1,1,0,0,0,0,0
73572,51,0,1,0,1,1,0,0,0
73873,51,0,1,0,0,0,0,0,0
74849,51,0,1,0,0,0,0,0,0
73534,51,0,1,0,0,0,0,0,0
73874,51,0,1,1,0,0,0,0,0
74190,51,0,1,0,0,0,0,0,0
74685,51,0,1,0,0,0,0,0,0
74240,51,0,1,0,0,0,0,0,0
73590,51,0,1,0,0,0,0,0,0
74477,51,0,1,0,0,0,0,0,0
73575,51,0,1,0,0,0,0,0,0
73658,51,0,1,1,0,0,0,0,0
74568,51,0,1,1,0,0,0,0,0
74563,51,0,1,1,0,0,0,0,0
74686,51,0,1,1,0,0,0,0,0
74350,51,0,1,0,0,0,0,0,0
74552,51,0,1,0,0,0,0,0,0
73569,51,0,1,0,0,0,0,0,0
73535,51,0,1,1,0,0,0,0,0
74850,51,0,1,0,0,0,0,0,0
73587,51,0,1,0,0,0,0,0,0
73536,51,0,1,1,0,0,0,0,0
74446,51,0,1,0,0,0,0,0,0
73775,51,0,1,0,0,0,0,0,0
74553,51,0,1,1,0,0,0,0,0
74851,51,0,1,0,0,0,0,0,0
74671,51,0,1,1,0,0,0,0,0
74670,51,0,1,0,0,0,0,0,0
73462,51,0,1,0,0,0,0,0,0
73875,51,0,1,0,0,0,0,0,0
74423,51,0,1,1,0,0,0,0,0
73538,51,0,1,1,0,0,0,0,0
73539,51,0,1,0,0,0,0,0,0
74782,51,0,1,0,0,0,0,0,0
74853,51,0,1,0,0,0,0,0,0
73540,51,0,1,0,0,0,0,0,0
73776,51,0,1,0,0,0,0,0,0
74297,51,0,1,1,0,0,0,0,0
74125,51,0,1,0,0,0,0,0,0
74412,51,0,1,0,0,0,0,0,0
73541,51,0,1,0,0,0,0,0,0
73600,51,0,1,0,0,0,0,0,0
74093,51,0,1,0,1,1,0,0,0
74425,51,0,1,0,0,0,0,0,0
74584,51,0,1,0,0,0,0,0,0
74426,51,0,1,0,0,0,0,0,0
74298,51,0,1,0,0,0,0,0,0
74079,51,0,1,1,0,0,0,0,0
74740,51,0,1,0,0,0,0,0,0
74794,51,0,1,1,0,0,0,0,0
74554,51,0,1,1,0,0,0,0,0
74569,51,0,1,1,0,0,0,0,0
74741,51,0,1,1,0,0,0,0,0
74529,51,0,1,0,0,0,0,0,0
74520,51,0,1,0,0,0,0,0,0
74351,51,0,1,1,0,0,0,0,0
73666,51,0,1,1,0,0,0,0,0
73586,51,0,1,1,0,0,0,0,0
73994,51,0,1,0,0,0,0,0,0
74783,51,0,1,0,0,0,0,0,0
74809,51,0,1,0,0,0,0,0,0
74346,51,0,1,1,0,0,0,0,0
73916,51,0,1,0,0,0,0,0,0
74570,51,0,1,1,0,0,0,0,0
73592,51,1,0,1,0,0,0,0,0
73688,51,0,1,0,0,0,0,0,0
74742,51,0,1,1,0,0,0,0,0
74326,51,0,1,0,0,0,0,0,0
74134,51,0,1,0,0,0,0,0,0
74856,51,1,0,0,1,1,0,0,0
74463,51,0,1,0,0,0,0,0,0
74455,51,0,1,0,0,0,0,0,0
73473,51,0,1,1,0,0,0,0,0
74555,51,0,1,0,0,0,0,0,0
73667,51,1,0,0,0,0,0,0,0
74585,51,0,1,1,0,0,0,0,0
74800,51,0,1,0,1,0,0,1,0
73474,51,1,0,1,0,0,0,0,0
65498,51,1,0,1,0,0,0,0,0
74478,51,0,1,1,0,0,0,0,0
73982,51,0,1,1,0,0,0,0,0
73777,51,0,1,1,0,0,0,0,0
73545,51,0,1,0,0,0,0,0,0
73983,51,0,1,1,0,0,0,0,0
73483,51,0,1,1,0,0,0,0,0
74687,51,0,1,0,0,0,0,0,0
74133,51,0,1,0,1,0,1,0,0
74700,51,0,1,0,0,0,0,0,0
74810,51,0,1,0,0,0,0,0,0
73778,51,0,1,1,0,0,0,0,0
74521,51,0,1,1,0,0,0,0,0
74775,51,0,1,1,0,0,0,0,0
74137,51,0,1,0,0,0,0,0,0
74094,51,0,1,1,0,0,0,0,0
73902,51,0,1,1,0,0,0,0,0
74632,51,0,1,0,0,0,0,0,0
74427,51,0,1,0,0,0,0,0,0
74681,51,0,1,1,0,0,0,0,0
74339,51,0,1,1,0,0,0,0,0
74688,51,0,1,1,0,0,0,0,0
74784,51,1,0,1,0,0,0,0,0
74672,51,0,1,0,1,0,1,0,0
73547,51,0,1,0,0,0,0,0,0
74633,51,0,1,0,0,0,0,0,0
74456,51,0,1,0,0,0,0,0,0
73602,51,0,1,1,0,0,0,0,0
74124,51,0,1,1,0,0,0,0,0
73548,51,0,1,1,0,0,0,0,0
74460,51,0,1,1,0,0,0,0,0
74530,51,0,1,0,0,0,0,0,0
74300,51,0,1,0,0,0,0,0,0
74363,51,0,1,1,0,0,0,0,0
74860,51,0,1,0,0,0,0,0,0
74333,51,0,1,1,0,0,0,0,0
74744,51,0,1,1,0,0,0,0,0
74470,51,0,1,1,0,0,0,0,0
74364,51,0,1,0,0,0,0,0,0
74785,51,0,1,1,0,0,0,0,0
74479,51,0,1,0,0,0,0,0,0
74745,51,0,1,0,0,0,0,0,0
73484,51,0,1,0,0,0,0,0,0
74235,51,0,1,1,0,0,0,0,0
74803,51,1,0,1,0,0,0,0,0
74586,51,1,0,1,0,0,0,0,0
74746,51,1,0,0,0,0,0,0,0
73659,51,1,0,0,0,0,0,0,0
74587,51,1,0,1,0,0,0,0,0
74177,51,1,0,1,0,0,0,0,0
74329,51,0,1,0,0,0,0,0,0
74747,51,0,1,0,0,0,0,0,0
74635,51,0,1,0,0,0,0,0,0
73760,51,1,0,0,0,0,0,0,0
74689,51,0,1,0,1,1,0,0,0
65904,51,0,1,0,0,0,0,0,0
73588,51,0,1,1,0,0,0,0,0
74206,51,0,1,0,0,0,0,0,0
74749,51,0,1,1,0,0,0,0,0
74673,51,0,1,0,0,0,0,0,0
73780,51,0,1,0,0,0,0,0,0
74786,51,0,1,1,0,0,0,0,0
73904,51,0,1,0,0,0,0,0,0
73552,51,0,1,1,0,0,0,0,0
74337,51,0,1,0,1,1,0,0,0
74787,51,0,1,1,0,0,0,0,0
74861,51,0,1,0,0,0,0,0,0
74690,51,1,0,0,0,0,0,0,0
74862,51,0,1,1,0,0,0,0,0
74238,51,0,1,0,0,0,0,0,0
73601,51,0,1,0,0,0,0,0,0
73984,51,0,1,0,0,0,0,0,0
74788,51,0,1,0,0,0,0,0,0
74457,51,0,1,1,0,0,0,0,0
74464,51,0,1,0,0,0,0,0,0
74021,51,1,0,0,0,0,0,0,0
74108,51,0,1,0,0,0,0,0,0
74225,51,0,1,0,0,0,0,0,0
74789,51,0,1,1,0,0,0,0,0
74243,51,0,1,1,0,0,0,0,0
73906,51,0,1,0,0,0,0,0,0
73553,51,0,1,1,0,0,0,0,0
73781,51,0,1,1,0,0,0,0,0
74301,51,0,1,0,0,0,0,0,0
74571,51,0,1,0,1,1,0,0,0
73907,51,0,1,0,0,0,0,0,0
73761,51,0,1,0,0,0,0,0,0
74790,51,0,1,0,0,0,0,0,0
74327,51,0,1,0,0,0,0,0,0
74447,51,1,0,0,0,0,0,0,0
74080,51,0,1,0,1,1,0,0,0
73594,51,1,0,1,0,0,0,0,0
74751,51,0,1,1,0,0,0,0,0
74572,51,0,1,1,0,0,0,0,0
74365,51,0,1,0,0,0,0,0,0
74352,51,0,1,0,1,1,0,0,0
74776,51,0,1,0,1,1,0,0,0
74359,51,0,1,1,0,0,0,0,0
74811,51,0,1,0,0,0,0,0,0
74752,51,0,1,1,0,0,0,0,0
73782,51,0,1,0,0,0,0,0,0
74005,51,0,1,1,0,0,0,0,0
74588,51,0,1,0,0,0,0,0,0
73464,51,0,1,1,0,0,0,0,0
73684,51,0,1,1,0,0,0,0,0
73603,51,0,1,0,0,0,0,0,0
74109,51,0,1,0,1,1,0,0,0
74753,51,0,1,0,0,0,0,0,0
73463,51,0,1,1,0,0,0,0,0
73692,51,0,1,1,0,0,0,0,0
73660,51,0,1,0,0,0,0,0,0
73909,51,0,1,0,0,0,0,0,0
74430,51,0,1,0,0,0,0,0,0
74191,51,0,1,1,0,0,0,0,0
73571,51,0,1,0,0,0,0,0,0
74122,51,0,1,0,0,0,0,0,0
73783,51,0,1,0,0,0,0,0,0
74319,51,0,1,1,0,0,0,0,0
74444,51,0,1,0,0,0,0,0,0
74095,51,0,1,0,1,1,0,0,0
74692,51,0,1,1,0,0,0,0,0
74573,51,0,1,0,0,0,0,0,0
73576,51,0,1,1,0,0,0,0,0
74754,51,0,1,0,0,0,0,0,0
74017,51,0,1,1,0,0,0,0,0
73884,51,0,1,1,0,0,0,0,0
73485,51,0,1,1,0,0,0,0,0
74791,51,0,1,0,0,0,0,0,0
73829,51,0,1,0,0,0,0,0,0
73555,51,0,1,1,0,0,0,0,0
74574,51,0,1,1,0,0,0,0,0
74448,51,0,1,0,1,1,0,0,0
74192,51,0,1,1,0,0,0,0,0
74804,51,0,1,1,0,0,0,0,0
73910,51,0,1,0,1,0,1,0,0
73914,51,0,1,0,1,1,0,0,0
74082,51,0,1,1,0,0,0,0,0
73491,51,0,1,0,0,0,0,0,0
73672,51,0,1,1,0,0,0,0,0
74805,51,0,1,0,0,0,0,0,0
74812,51,0,1,1,0,0,0,0,0
74431,51,0,1,0,0,0,0,0,0
74556,51,0,1,1,0,0,0,0,0
74449,51,0,1,1,0,0,0,0,0
74111,51,0,1,0,0,0,0,0,0
74637,51,0,1,0,0,0,0,0,0
74207,51,0,1,1,0,0,0,0,0
73455,51,0,1,1,0,0,0,0,0
74102,51,0,1,0,0,0,0,0,0
73673,51,0,1,1,0,0,0,0,0
74756,51,0,1,0,0,0,0,0,0
74589,51,0,1,1,0,0,0,0,0
74303,51,0,1,0,0,0,0,0,0
74304,51,0,1,0,0,0,0,0,0
73486,51,0,1,1,0,0,0,0,0
74638,51,0,1,0,0,0,0,0,0
74792,51,0,1,0,0,0,0,0,0
73465,51,0,1,1,0,0,0,0,0
74590,51,0,1,0,0,0,0,0,0
74237,51,0,1,1,0,0,0,0,0
74216,51,0,1,1,0,0,0,0,0
74084,51,0,1,0,1,1,0,0,0
73593,51,0,1,0,0,0,0,0,0
73574,51,0,1,0,0,0,0,0,0
74560,51,0,1,1,0,0,0,0,0
73693,51,0,1,0,0,0,0,0,0
74208,51,0,1,1,0,0,0,0,0
73591,51,0,1,1,0,0,0,0,0
73475,51,0,1,0,0,0,0,0,0
74353,51,0,1,0,0,0,0,0,0
73788,51,0,1,1,0,0,0,0,0
74793,51,0,1,0,0,0,0,0,0
74674,51,0,1,1,0,0,0,0,0
74557,51,0,1,0,0,0,0,0,0
73557,51,0,1,0,0,0,0,0,0
73578,51,0,1,0,0,0,0,0,0
73580,51,0,1,0,0,0,0,0,0
74023,51,0,1,0,0,0,0,0,0
73490,51,0,1,0,0,0,0,0,0
74777,51,1,0,0,0,0,0,0,0
73985,51,0,1,0,1,1,0,0,0
73487,51,0,1,1,0,0,0,0,0
73674,51,0,1,1,0,0,0,0,0
74758,51,0,1,0,0,0,0,0,0
73420,51,0,1,1,0,0,0,0,0
73912,51,0,1,0,0,0,0,0,0
74305,51,0,1,1,0,0,0,0,0
74209,51,0,1,0,1,1,0,0,0
73558,51,0,1,0,0,0,0,0,0
74693,51,0,1,1,0,0,0,0,0
73651,51,0,1,0,0,0,0,0,0
74640,51,0,1,0,1,1,0,0,0
74759,51,0,1,1,0,0,0,0,0
74591,51,0,1,0,0,0,0,0,0
74306,51,0,1,1,0,0,0,0,0
74813,51,0,1,1,0,0,0,0,0
73421,51,0,1,1,0,0,0,0,0
74760,51,0,1,0,0,0,0,0,0
74221,51,0,1,1,0,0,0,0,0
74592,51,0,1,1,0,0,0,0,0
73507,51,1,0,1,0,0,0,0,0
73422,51,0,1,0,0,0,0,0,0
73466,51,0,1,1,0,0,0,0,0
74795,51,0,1,1,0,0,0,0,0
73604,51,0,1,1,0,0,0,0,0
