parl_id,legislatura,weights
139265,48,0.5256849315068493
139269,48,0.5256849315068493
139268,48,0.5256849315068493
139266,48,0.5256849315068493
139267,48,0.5256849315068493
139271,48,0.5256849315068493
139264,48,0.5256849315068493
139272,48,0.5256849315068493
139270,48,0.5256849315068493
139273,48,0.5256849315068493
139275,48,0.5256849315068493
139277,48,0.5256849315068493
139274,48,0.5256849315068493
139276,48,0.5256849315068493
139279,48,0.5256849315068493
139278,48,0.5256849315068493
139281,48,0.5256849315068493
139282,48,0.5256849315068493
139283,48,0.5256849315068493
139286,48,0.5256849315068493
139288,48,0.5256849315068493
139291,48,0.5256849315068493
139284,48,0.5256849315068493
139287,48,0.5256849315068493
139289,48,0.5256849315068493
139290,48,0.5256849315068493
139292,48,0.5256849315068493
139327,48,0.5256849315068493
139331,48,0.5256849315068493
139330,48,0.5256849315068493
139329,48,0.5256849315068493
139334,48,0.5256849315068493
139337,48,0.5256849315068493
139338,48,0.5256849315068493
139339,48,0.5256849315068493
139340,48,0.5256849315068493
139341,48,0.5256849315068493
139342,48,0.5256849315068493
139345,48,0.5256849315068493
139347,48,0.5256849315068493
139346,48,0.5256849315068493
139348,48,10.233333333333333
139351,48,0.5256849315068493
139357,48,0.5256849315068493
139358,48,0.5256849315068493
139362,48,0.5256849315068493
139361,48,10.233333333333333
139364,48,0.5256849315068493
139365,48,0.5256849315068493
139363,48,0.5256849315068493
139367,48,0.5256849315068493
139366,48,0.5256849315068493
139369,48,0.5256849315068493
139368,48,0.5256849315068493
139371,48,0.5256849315068493
139373,48,0.5256849315068493
139372,48,0.5256849315068493
139377,48,0.5256849315068493
139370,48,0.5256849315068493
139376,48,0.5256849315068493
139374,48,0.5256849315068493
139375,48,0.5256849315068493
139378,48,0.5256849315068493
139379,48,0.5256849315068493
139380,48,0.5256849315068493
139382,48,0.5256849315068493
139381,48,0.5256849315068493
139383,48,0.5256849315068493
139386,48,10.233333333333333
139385,48,0.5256849315068493
139384,48,0.5256849315068493
139387,48,0.5256849315068493
132141,48,0.5256849315068493
132142,48,0.5256849315068493
132143,48,0.5256849315068493
132144,48,0.5256849315068493
132145,48,0.5256849315068493
1500,48,0.5256849315068493
1502,48,0.5256849315068493
1501,48,0.5256849315068493
1503,48,0.5256849315068493
1504,48,0.5256849315068493
1506,48,0.5256849315068493
1505,48,0.5256849315068493
1508,48,0.5256849315068493
1507,48,0.5256849315068493
1509,48,0.5256849315068493
1510,48,0.5256849315068493
1511,48,0.5256849315068493
1512,48,0.5256849315068493
1513,48,0.5256849315068493
1514,48,0.5256849315068493
1515,48,0.5256849315068493
1516,48,0.5256849315068493
1520,48,0.5256849315068493
1518,48,0.5256849315068493
1519,48,0.5256849315068493
1517,48,0.5256849315068493
1522,48,0.5256849315068493
1521,48,0.5256849315068493
1524,48,0.5256849315068493
1523,48,0.5256849315068493
1525,48,0.5256849315068493
1526,48,0.5256849315068493
1528,48,0.5256849315068493
1527,48,0.5256849315068493
1529,48,0.5256849315068493
1530,48,10.233333333333333
1532,48,0.5256849315068493
1531,48,0.5256849315068493
1534,48,0.5256849315068493
1533,48,0.5256849315068493
1537,48,0.5256849315068493
1536,48,0.5256849315068493
1539,48,0.5256849315068493
1538,48,0.5256849315068493
1541,48,0.5256849315068493
1542,48,0.5256849315068493
1540,48,0.5256849315068493
65519,48,0.5256849315068493
139124,48,0.5256849315068493
139123,48,10.233333333333333
139125,48,0.5256849315068493
139126,48,0.5256849315068493
139127,48,0.5256849315068493
139128,48,0.5256849315068493
139129,48,0.5256849315068493
139131,48,0.5256849315068493
139130,48,0.5256849315068493
139132,48,0.5256849315068493
139139,48,0.5256849315068493
139138,48,0.5256849315068493
139170,48,0.5256849315068493
139171,48,0.5256849315068493
139172,48,0.5256849315068493
139173,48,0.5256849315068493
139174,48,10.233333333333333
139175,48,0.5256849315068493
139176,48,0.5256849315068493
139177,48,0.5256849315068493
139178,48,0.5256849315068493
139179,48,0.5256849315068493
139180,48,0.5256849315068493
139181,48,0.5256849315068493
139182,48,0.5256849315068493
139183,48,10.233333333333333
139184,48,0.5256849315068493
139185,48,0.5256849315068493
139186,48,0.5256849315068493
139188,48,0.5256849315068493
139189,48,0.5256849315068493
139191,48,0.5256849315068493
139190,48,0.5256849315068493
139192,48,0.5256849315068493
139193,48,0.5256849315068493
139194,48,10.233333333333333
139195,48,0.5256849315068493
139196,48,0.5256849315068493
139197,48,0.5256849315068493
139200,48,0.5256849315068493
139199,48,0.5256849315068493
139198,48,0.5256849315068493
139201,48,0.5256849315068493
139202,48,0.5256849315068493
139203,48,0.5256849315068493
139204,48,0.5256849315068493
139205,48,0.5256849315068493
139206,48,0.5256849315068493
139208,48,0.5256849315068493
139207,48,0.5256849315068493
139209,48,0.5256849315068493
139210,48,0.5256849315068493
139211,48,0.5256849315068493
139213,48,0.5256849315068493
139215,48,0.5256849315068493
139216,48,0.5256849315068493
139214,48,0.5256849315068493
139217,48,0.5256849315068493
139218,48,0.5256849315068493
139221,48,0.5256849315068493
139220,48,0.5256849315068493
139219,48,0.5256849315068493
139222,48,0.5256849315068493
139223,48,0.5256849315068493
139229,48,0.5256849315068493
139228,48,0.5256849315068493
139231,48,0.5256849315068493
139230,48,0.5256849315068493
139235,48,0.5256849315068493
139245,48,0.5256849315068493
139255,48,0.5256849315068493
139246,48,0.5256849315068493
139256,48,0.5256849315068493
139257,48,0.5256849315068493
139259,48,0.5256849315068493
139258,48,0.5256849315068493
139260,48,0.5256849315068493
139261,48,0.5256849315068493
139262,48,0.5256849315068493
139263,48,0.5256849315068493
139293,48,0.5256849315068493
139294,48,10.233333333333333
139295,48,0.5256849315068493
139296,48,0.5256849315068493
139297,48,0.5256849315068493
139299,48,0.5256849315068493
139300,48,10.233333333333333
139298,48,10.233333333333333
139301,48,0.5256849315068493
139302,48,0.5256849315068493
139303,48,0.5256849315068493
139304,48,0.5256849315068493
139307,48,0.5256849315068493
86494,48,0.5256849315068493
139306,48,0.5256849315068493
139305,48,0.5256849315068493
139308,48,0.5256849315068493
139309,48,0.5256849315068493
139312,48,0.5256849315068493
139310,48,10.233333333333333
139313,48,0.5256849315068493
139314,48,0.5256849315068493
139315,48,10.233333333333333
139316,48,0.5256849315068493
139319,48,0.5256849315068493
139317,48,0.5256849315068493
139320,48,0.5256849315068493
139322,48,0.5256849315068493
139321,48,0.5256849315068493
139323,48,0.5256849315068493
139324,48,0.5256849315068493
139325,48,0.5256849315068493
139326,48,0.5256849315068493
139328,48,0.5256849315068493
139332,48,0.5256849315068493
139333,48,0.5256849315068493
139336,48,0.5256849315068493
139335,48,0.5256849315068493
139343,48,0.5256849315068493
139349,48,0.5256849315068493
139344,48,0.5256849315068493
139350,48,0.5256849315068493
139352,48,0.5256849315068493
139354,48,0.5256849315068493
139353,48,0.5256849315068493
139355,48,0.5256849315068493
139360,48,0.5256849315068493
139356,48,0.5256849315068493
139359,48,0.5256849315068493
139136,48,0.5256849315068493
139134,48,0.5256849315068493
139135,48,0.5256849315068493
139137,48,0.5256849315068493
139141,48,0.5256849315068493
139142,48,0.5256849315068493
139140,48,0.5256849315068493
139144,48,0.5256849315068493
139143,48,10.233333333333333
139147,48,0.5256849315068493
139148,48,0.5256849315068493
139145,48,0.5256849315068493
139146,48,0.5256849315068493
139151,48,0.5256849315068493
139149,48,0.5256849315068493
139150,48,0.5256849315068493
139152,48,0.5256849315068493
139153,48,0.5256849315068493
139155,48,0.5256849315068493
139154,48,0.5256849315068493
139156,48,0.5256849315068493
139157,48,0.5256849315068493
139158,48,0.5256849315068493
139159,48,0.5256849315068493
139160,48,10.233333333333333
139162,48,0.5256849315068493
139161,48,0.5256849315068493
139163,48,0.5256849315068493
139164,48,0.5256849315068493
139165,48,0.5256849315068493
139166,48,0.5256849315068493
139167,48,0.5256849315068493
139168,48,0.5256849315068493
139169,48,0.5256849315068493
139224,48,0.5256849315068493
139225,48,0.5256849315068493
139226,48,0.5256849315068493
139227,48,0.5256849315068493
139233,48,0.5256849315068493
139232,48,0.5256849315068493
139234,48,0.5256849315068493
139236,48,0.5256849315068493
139237,48,0.5256849315068493
139239,48,0.5256849315068493
139238,48,0.5256849315068493
139240,48,0.5256849315068493
139242,48,0.5256849315068493
139241,48,0.5256849315068493
139243,48,0.5256849315068493
139244,48,0.5256849315068493
139247,48,0.5256849315068493
139249,48,0.5256849315068493
139250,48,0.5256849315068493
139248,48,0.5256849315068493
139252,48,0.5256849315068493
139251,48,0.5256849315068493
139254,48,0.5256849315068493
139253,48,0.5256849315068493
73729,49,0.5140845070422536
73797,49,0.5140845070422536
73798,49,0.5140845070422536
73816,49,0.5140845070422536
73826,49,0.5140845070422536
73855,49,0.5140845070422536
73862,49,18.250000000000004
73866,49,0.5140845070422536
73856,49,0.5140845070422536
73864,49,0.5140845070422536
73870,49,0.5140845070422536
73871,49,0.5140845070422536
73863,49,0.5140845070422536
73869,49,0.5140845070422536
73952,49,0.5140845070422536
