Profile,Mean_Cosine,Median_Cosine,Partido,Estado,total_posts_profile_antes_filtro,total_posts_profile_depois_filtro,num_publicacoes_neste_df
Reginaldo Lopes,0.09551792590848648,8.366822012380926e-06,PT,,1303,121,121
Robinson Faria,0.09546466237555631,0.0008962994797607675,PL,,231,12,12
Beto Pereira,0.09544259495609768,-1.5395159617499123e-05,PSDB,,247,33,33
Aguinaldo Ribeiro,0.09524103761282483,0.0001321848296234782,PP,,275,32,32
Duda Salabert,0.09486665493092673,0.002896681392823421,PDT,,178,43,43
Damião Feliciano,0.09484318430070249,3.36708743424001e-05,UNIÃO,,186,32,31
Emanuel Pinheiro Neto,0.09475151887478327,0.00019008477908097506,MDB,,164,45,45
Pedro Aihara,0.09471996746695686,3.61628329016331e-05,PRD,,262,95,95
Luiz Gastão,0.09469332145254496,0.00023648106607068438,PSD,,341,58,58
Junio Amaral,0.09447070781813002,9.90005388965472e-05,PL,,609,25,25
Marcelo Moraes,0.0943717621751043,-3.132226913447542e-05,PL,,152,16,16
Altineu Côrtes,0.09425502217971846,8.709493882195727e-05,PL,,403,73,73
Gleisi Hoffmann,0.09418103944347285,2.608236138869344e-05,PT,,3923,410,410
Igor Timo,0.09406449270521344,1.0468630509671832e-05,PSD,,258,60,60
Merlong Solano,0.09380883727397912,0.0009898055387944152,PT,,517,120,120
Osmar Terra,0.09378991969708615,1.0259116931418261e-05,MDB,,326,30,30
Pastor Henrique Vieira,0.09371620977499344,0.0006884939554178174,PSOL,,964,261,261
Detinha,0.09361628121472634,0.0005420951525645645,PL,,177,7,7
Julio Lopes,0.0933077346042859,-1.8569798100115494e-05,PP,,975,138,138
Carlos Sampaio,0.09310994599359937,9.391386407703027e-06,PSD,,568,61,61
Helder Salomão,0.09298029085026045,1.0446791713448953e-05,PT,,1626,134,134
André Janones,0.0926564636834924,1.25836117181922e-05,AVANTE,,514,16,16
Coronel Ulysses,0.09259755642949122,-1.3394833567541874e-06,UNIÃO,,256,51,51
Padovani,0.09249013945180963,9.845509188678669e-05,UNIÃO,,412,81,80
Domingos Neto,0.09230033705476368,-2.3327473412677084e-05,PSD,,523,34,34
Sidney Leite,0.09214306111809334,0.002242787557018494,PSD,,445,110,110
Amália Barros,0.09199297541292119,2.194129245556422e-07,PL,,358,30,30
Bandeira de Mello,0.09161110576671576,8.501751256735639e-06,PSB,,484,45,45
Afonso Motta,0.09145366250639404,1.2955724423355484e-06,PDT,,398,55,55
Daniel Trzeciak,0.09144853510096104,-3.0421079759319902e-06,PSDB,,163,5,5
Dayany Bittencourt,0.09126104083225028,0.00044334786502784804,UNIÃO,,235,33,33
Saullo Vianna,0.09117853354136851,0.0018539746643773058,UNIÃO,,430,51,51
Jeferson Rodrigues,0.09109046561821206,1.4907076882222046e-05,REPUBLICANOS,,298,48,48
Dorinaldo Malafaia,0.09107251789757466,0.00011821392948437501,PDT,,901,186,185
Cobalchini,0.09087024738517224,0.00017068770260677705,MDB,,523,97,97
Rosângela Reis,0.09086897592308997,2.377913868416575e-05,PL,,364,62,62
Socorro Neri,0.09083112121138671,3.780673790608591e-05,PP,,610,81,81
Bacelar,0.09052394921063757,-5.8720592276153666e-06,PV,,510,97,97
Márcio Biolchi,0.09035435455485238,0.00013476152068302537,MDB,,41,6,6
Aliel Machado,0.09018080166811923,2.8434546764613503e-05,PV,,459,84,84
Jilmar Tatto,0.09008791468652735,5.215900211862025e-07,PT,,1340,109,109
Geraldo Resende,0.08962463012642995,7.516822001238705e-06,PSDB,,327,61,61
Euclydes Pettersen,0.089509076065447,0.0006247092878942522,REPUBLICANOS,,132,38,38
Josias Gomes,0.08950258451273536,0.00024103354356528283,PT,,1243,321,320
Nicoletti,0.08949814571353978,1.839497341044563e-05,UNIÃO,,901,231,231
Dr. Francisco,0.08906337639919146,6.458606399600879e-05,PT,,648,115,115
Neto Carletto,0.08905948502902758,-6.679458235003633e-06,PP,,771,114,114
Roberta Roma,0.08905695484262471,3.5972298946214883e-05,PL,,229,49,49
Camila Jara,0.0889665089951368,8.701884833969514e-05,PT,,623,202,202
Carlos Henrique Gaguim,0.0886769448636232,8.223936867852609e-05,UNIÃO,,1333,230,230
Rodrigo Gambale,0.08856745487042182,-5.397789393623363e-07,PODEMOS,,328,36,36
Castro Neto,0.0883090271984744,0.0010007606240561785,PSD,,497,70,70
Marcel van Hattem,0.08808415900314714,4.9358142015188865e-05,NOVO,,686,119,118
Geovania de Sá,0.08780748358497382,5.835452533763184e-06,PSDB,,541,88,88
Rogério Correia,0.08778349211646173,2.6404922012793246e-05,PT,,2507,269,269
Delegado Éder Mauro,0.08760884103785498,3.248366874015159e-05,PL,,579,57,56
Sonize Barbosa,0.08752263122313376,3.367025662042583e-05,PL,,273,56,55
Simone Marquetto,0.08751437001661039,-1.1487541643007484e-05,MDB,,1256,62,62
Dr. Zacharias Calil,0.08724735965511046,-9.57440605066165e-06,UNIÃO,,506,78,78
Stefano Aguiar,0.08675370881103513,-2.869348739746904e-05,PSD,,191,14,14
Ana Paula Leão,0.0866301296917019,-8.527944184752183e-06,PP,,962,138,138
Alexandre Lindenmeyer,0.08643037697358527,1.864893816259383e-05,PT,,1817,345,345
Patrus Ananias,0.08642028664689726,0.0007396799240691162,PT,,528,188,188
Danilo Forte,0.08637513863341738,4.2393111358844454e-05,UNIÃO,,588,124,124
Rosana Valle,0.08630974472396154,-3.197575828195637e-06,PL,,1000,91,91
Clarissa Tércio,0.08623943562135214,2.987336053315989e-05,PP,,437,74,74
Fred Linhares,0.08612464912875094,2.823250836738118e-06,REPUBLICANOS,,629,107,107
Pezenti,0.08603734323968196,-2.994365203269674e-05,MDB,,173,6,6
Mendonça Filho,0.0859407232914999,4.317815773220288e-05,UNIÃO,,284,21,21
Felipe Francischini,0.08586042410739603,-3.563811982110451e-05,UNIÃO,,75,17,17
Fernando Coelho Filho,0.0858598728123199,0.0029948177439324953,UNIÃO,,360,24,24
Murilo Galdino,0.08584696738734342,0.00011839779973762665,REPUBLICANOS,,806,78,78
Rubens Otoni,0.08581570843019921,1.6969553792268082e-05,PT,,1447,189,189
Glaustin da Fokus,0.08581503774678177,2.6242221200546568e-05,PODEMOS,,373,99,99
Augusto Coutinho,0.08578121753530162,4.011207246170707e-05,REPUBLICANOS,,445,30,30
Marcos Pereira,0.0852883687467942,6.951038261286795e-06,REPUBLICANOS,,510,84,84
Fernando Monteiro,0.08478856487766562,3.8108548378175275e-05,REPUBLICANOS,,259,36,36
Sanderson,0.08451775811731949,7.331193109005361e-05,PL,,763,59,58
Miguel Lombardi,0.08444385612449316,-1.7431501503120874e-05,PL,,346,26,26
Sargento Portugal,0.08433048930467535,9.67998253926158e-06,PODEMOS,,648,57,56
Yandra Moura,0.08423302530589344,0.0004896041989963173,UNIÃO,,574,83,83
Paulo Litro,0.0839437569880757,1.6800420026187864e-05,PSD,,234,26,26
Yury do Paredão,0.08392450681568012,3.3445551736930424e-05,MDB,,248,29,29
Alberto Mourão,0.08391404876120584,-1.2701494339663265e-05,MDB,,622,81,81
Rodolfo Nogueira,0.08373430552278499,-3.6548527047809948e-06,PL,,1066,86,86
Ricardo Salles,0.08364066302307399,-4.118709658815989e-05,NOVO,,318,21,21
André Ferreira,0.083595479382161,3.7816329116048046e-05,PL,,367,23,23
Jefferson Campos,0.08352786430820905,1.4340147107434222e-05,PL,,580,79,79
Coronel Telhada,0.08336995450591077,5.456357397795721e-06,PP,,1316,131,131
Mauro Benevides Filho,0.08336193804094244,-8.602484696428742e-06,PDT,,428,21,21
Adriano do Baldy,0.08315302832586931,2.757969138863173e-05,PP,,883,96,96
Geraldo Mendes,0.08313174540683764,-2.3228232233401917e-05,UNIÃO,,541,75,75
Carlos Jordy,0.0829338648884814,-2.236137127548659e-05,PL,,1676,89,89
Luiz Couto,0.08289354304200892,9.22592113474154e-05,PT,,539,76,76
Tadeu Veneri,0.08281890241356735,3.4414211751674754e-05,PT,,757,166,166
Rodrigo Valadares,0.08270214824946796,1.0093598008443422e-05,UNIÃO,,997,157,157
Julia Zanatta,0.08246803181138321,0.00020536249623700348,PL,,850,214,214
Pedro Uczai,0.08228502110397978,-7.118734289632876e-06,PT,,1853,230,230
Alceu Moreira,0.08226109007100016,-3.443813039565389e-06,MDB,,466,58,58
Delegado da Cunha,0.08222903691571352,0.00046092670754532887,PP,,272,71,71
Alencar Santana,0.08193542402597914,-6.887886986846252e-06,PT,,2315,199,199
Ivan Valente,0.08181041005730062,1.3099679482946513e-05,PSOL,,1565,92,92
Alfredo Gaspar,0.08131443328163009,0.0014460618877930095,UNIÃO,,157,23,23
Mauricio Neves,0.08128934173465335,3.278103463618622e-05,PP,,479,76,76
João Leão,0.08105065667491328,-1.2874969930183949e-05,PP,,314,21,21
Leur Lomanto Júnior,0.08104682460032303,-5.394453991463624e-06,UNIÃO,,154,22,22
Fernando Rodolfo,0.08033431793856768,-1.0703667253592305e-05,PL,,183,30,29
Bruno Ganem,0.08023274511274947,-9.244518806531545e-06,PODEMOS,,510,90,90
Juninho do Pneu,0.08013981894351992,1.0228208487081512e-05,UNIÃO,,687,150,150
Coronel Meira,0.08011897288048306,1.310653533513057e-05,PL,,941,90,90
Alex Manente,0.08005265979430742,-2.1551042222819802e-05,CIDADANIA,,570,68,68
Flávio Nogueira,0.07994203524315036,0.0012893999880885375,PT,,685,71,71
Mersinho Lucena,0.07974350784451704,0.0002456507146465084,PP,,340,38,38
Clodoaldo Magalhães,0.07966146152443071,0.00040484654676574097,PV,,599,98,98
Pinheirinho,0.07966054503888237,-6.95055430308044e-06,PP,,196,40,40
Dr. Jaziel,0.07954576519265917,6.06671181030523e-05,PL,,264,21,21
Capitão Alberto Neto,0.07939200517355927,-1.6611338132972848e-05,PL,,1290,174,174
Fausto Pinato,0.07935386376530662,-2.1546501793524213e-05,PP,,596,73,73
Messias Donato,0.07931072637799598,5.256061308492432e-05,REPUBLICANOS,,1446,272,272
Fausto Santos Jr.,0.07930721848727873,0.0003461733153776721,UNIÃO,,449,77,77
Lucas Ramos,0.07930571416283476,0.0010165239833850549,PSB,,434,94,94
Luisa Canziani,0.07925573750051867,6.778966940111921e-05,PSD,,149,20,20
Gilvan Maximo,0.07888721026266281,-2.702965663847383e-06,REPUBLICANOS,,481,65,65
Bohn Gass,0.0788532835408717,-3.963468023739048e-06,PT,,1560,84,84
Rubens Pereira Júnior,0.07877956353727267,0.00010431805208499272,PT,,446,53,53
Filipe Martins,0.07877043709180145,0.00016744830162225132,PL,,248,22,22
Coronel Assis,0.07860609546114228,6.524798985219107e-05,UNIÃO,,570,108,108
Delegado Palumbo,0.07846177240135391,-5.177279772242541e-05,MDB,,436,40,40
Delegado Paulo Bilynskyj,0.07837766700267242,-3.340261030356161e-05,PL,,1862,59,59
Mário Heringer,0.07836439331486875,8.72006311450438e-05,PDT,,200,54,54
Dagoberto Nogueira,0.07829035455597727,-1.057186471412137e-05,PSDB,,281,40,40
Eriberto Medeiros,0.07825768490681421,0.0008547104183718174,PSB,,430,115,115
Cabo Gilberto Silva,0.07817104226247844,3.743818405395371e-05,PL,,1623,107,107
Adriana Ventura,0.07816597611154996,-2.69395847359609e-05,NOVO,,591,65,65
Túlio Gadêlha,0.07808988685340694,0.00014025214855198687,REDE,,889,122,122
Jorge Solla,0.07808535146488689,7.966269327225831e-06,PT,,697,142,142
Raimundo Costa,0.07803883498580974,-3.0353999883843635e-05,PODEMOS,,269,22,22
Luiz Carlos Motta,0.07783055479392868,-3.457622781351086e-05,PL,,209,32,31
Helio Lopes,0.07754767376497866,3.7771100366479337e-05,PL,,1575,104,104
Pastor Sargento Isidório,0.07737696975461943,-2.4387465918110407e-05,AVANTE,,490,22,22
Cristiane Lopes Da Luz Benarrosh,0.07720022094948868,-1.0483296089948868e-07,UNIÃO,,431,61,61
Daniela Reinehr,0.07718136882195464,0.00023992630668644754,PL,,803,114,114
Greyce Elias,0.07710968121607471,2.4040497477097144e-06,AVANTE,,276,91,91
Dimas Gadelha,0.07710268186209052,-1.8341101474283827e-06,PT,,770,116,116
Zé Trovão,0.07704409299480859,-1.077526121150891e-05,PL,,569,65,65
Josenildo,0.07682442504120057,0.0001209574442833601,PDT,,520,87,87
Gutemberg Reis,0.07674932685841375,-2.828100152041206e-05,MDB,,1167,52,52
Caroline de Toni,0.07671216943060512,4.6982570092269404e-05,PL,,877,159,159
Delegada Katarina,0.07656427094398775,0.0003614586786720956,PSD,,612,90,90
Adail Filho,0.07643496676506235,-7.88557292597659e-06,REPUBLICANOS,,385,62,62
Samuel Viana,0.07634883715808305,2.3587650336446e-05,REPUBLICANOS,,222,57,57
Coronel Fernanda,0.07629726280894766,1.4934934429368287e-07,PL,,370,40,40
Any Ortiz,0.07627850554517558,2.828022065538922e-06,CIDADANIA,,240,43,43
Reinhold Stephanes,0.07627697821597462,-5.27435608686765e-05,PSD,,354,14,14
Chico Alencar,0.07622539320619215,0.0003731475646671791,PSOL,,1332,378,378
Paulo Alexandre Barbosa,0.07601801243866316,-9.377941771264504e-06,PSDB,,611,65,64
José Airton Félix Cirilo,0.07566228295772023,2.136310932013217e-05,PT,,858,181,181
Gustinho Ribeiro,0.07553585314067202,0.0005962546156312669,REPUBLICANOS,,212,21,21
Waldemar Oliveira,0.07530214129821998,-5.018786346495238e-06,AVANTE,,205,28,28
Renata Abreu,0.07518981271647311,-8.138403047365416e-06,PODEMOS,,1013,278,278
Luiz Lima,0.07509150042318166,1.77077925380171e-05,PL,,1382,232,231
André Fernandes,0.07472325478158127,0.0003641679136207991,PL,,111,6,6
Sergio Souza,0.07425982616587196,-9.286352398294531e-06,MDB,,806,105,105
Silvia Waiãpi,0.07416546664101718,9.563631656489327e-05,PL,,491,60,60
Adilson Barroso,0.07414499368295623,1.4972009999594822e-05,PL,,212,13,13
José Rocha,0.07332999099387598,8.228638168531254e-06,UNIÃO,,212,29,29
Ricardo Abrão,0.07327304284324253,-2.6677513529191137e-05,UNIÃO,,402,87,87
Bibo Nunes,0.07291522018986844,-1.6622454159878997e-05,PL,,776,90,90
Florentino Neto,0.07290102047094467,0.0008417932449589104,PT,,1067,101,101
Vander Loubet,0.07267870326506716,-2.0211772011586816e-05,PT,,518,70,70
