id,uri,nome,siglaPartido,uriPartido,siglaUf,idLegislatura,urlFoto,email
74829,https://dadosabertos.camara.leg.br/api/v2/deputados/74829,ALEXANDRE CARDOSO,PSB,https://dadosabertos.camara.leg.br/api/v2/partidos/36832,RJ,51,https://www.camara.leg.br/internet/deputado/bandep/74829.jpg,
74830,https://dadosabertos.camara.leg.br/api/v2/deputados/74830,ALEXANDRE SANTOS,PSDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36835,RJ,51,https://www.camara.leg.br/internet/deputado/bandep/74830.jpg,
74451,https://dadosabertos.camara.leg.br/api/v2/deputados/74451,ALMEIDA DE JESUS,PMDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36795,CE,51,https://www.camara.leg.br/internet/deputado/bandep/74451.jpg,
74675,https://dadosabertos.camara.leg.br/api/v2/deputados/74675,ALMERINDA DE CARVALHO,PFL,https://dadosabertos.camara.leg.br/api/v2/partidos/36832,RJ,51,https://www.camara.leg.br/internet/deputado/bandep/74675.jpg,
74341,https://dadosabertos.camara.leg.br/api/v2/deputados/74341,ALMIR SÁ,PPB,https://dadosabertos.camara.leg.br/api/v2/partidos/36811,RR,51,https://www.camara.leg.br/internet/deputado/bandep/74341.jpg,
74697,https://dadosabertos.camara.leg.br/api/v2/deputados/74697,ALOIZIO MERCADANTE,PT,https://dadosabertos.camara.leg.br/api/v2/partidos/36844,SP,51,https://www.camara.leg.br/internet/deputado/bandep/74697.jpg,
73581,https://dadosabertos.camara.leg.br/api/v2/deputados/73581,ALOÍZIO SANTOS,PSDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36835,ES,51,https://www.camara.leg.br/internet/deputado/bandep/73581.jpg,
73430,https://dadosabertos.camara.leg.br/api/v2/deputados/73430,ALOYSIO NUNES FERREIRA,PSDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36835,SP,51,https://www.camara.leg.br/internet/deputado/bandep/73430.jpg,
74404,https://dadosabertos.camara.leg.br/api/v2/deputados/74404,ALVARO GAUDENCIO NETO,PFL,https://dadosabertos.camara.leg.br/api/v2/partidos/36790,PB,51,https://www.camara.leg.br/internet/deputado/bandep/74404.jpg,
74248,https://dadosabertos.camara.leg.br/api/v2/deputados/74248,ANA CATARINA,PMDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36800,RN,51,https://www.camara.leg.br/internet/deputado/bandep/74248.jpg,
73686,https://dadosabertos.camara.leg.br/api/v2/deputados/73686,ANA CORSO,PT,https://dadosabertos.camara.leg.br/api/v2/partidos/36844,RS,51,https://www.camara.leg.br/internet/deputado/bandep/73686.jpg,
74698,https://dadosabertos.camara.leg.br/api/v2/deputados/74698,ANDRÉ BENASSI,PSDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36835,SP,51,https://www.camara.leg.br/internet/deputado/bandep/74698.jpg,
74471,https://dadosabertos.camara.leg.br/api/v2/deputados/74471,ANDRÉ DE PAULA,PFL,https://dadosabertos.camara.leg.br/api/v2/partidos/36790,PE,51,https://www.camara.leg.br/internet/deputado/bandep/74471.jpg,
74699,https://dadosabertos.camara.leg.br/api/v2/deputados/74699,ANGELA GUADAGNIN,PT,https://dadosabertos.camara.leg.br/api/v2/partidos/36844,SP,51,https://www.camara.leg.br/internet/deputado/bandep/74699.jpg,
74212,https://dadosabertos.camara.leg.br/api/v2/deputados/74212,ANÍBAL GOMES,PSDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36800,CE,51,https://www.camara.leg.br/internet/deputado/bandep/74212.jpg,
74072,https://dadosabertos.camara.leg.br/api/v2/deputados/74072,ANIVALDO VALE,PSDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36835,PA,51,https://www.camara.leg.br/internet/deputado/bandep/74072.jpg,
74452,https://dadosabertos.camara.leg.br/api/v2/deputados/74452,ANTONIO CAMBRAIA,PMDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36835,CE,51,https://www.camara.leg.br/internet/deputado/bandep/74452.jpg,
73492,https://dadosabertos.camara.leg.br/api/v2/deputados/73492,ANTONIO CARLOS BISCAIA,PT,https://dadosabertos.camara.leg.br/api/v2/partidos/36844,RJ,51,https://www.camara.leg.br/internet/deputado/bandep/73492.jpg,
