id,uri,nome,siglaPartido,uriPartido,siglaUf,idLegislatura,urlFoto,email,dataInicio,dataFim,titulo,codTitulo
74291,https://dadosabertos.camara.leg.br/api/v2/deputados/74291,ARNON BEZERRA,PTB,https://dadosabertos.camara.leg.br/api/v2/partidos/36845,CE,53,https://www.camara.leg.br/internet/deputado/bandep/74291.jpg,,2007-02-01,2009-02-02,2º Suplente de Secretário,10
74278,https://dadosabertos.camara.leg.br/api/v2/deputados/74278,MARCELO ORTIZ,PV,https://dadosabertos.camara.leg.br/api/v2/partidos/36851,SP,53,https://www.camara.leg.br/internet/deputado/bandep/74278.jpg,,2009-02-02,2011-01-31,1º Suplente de Secretário,9
141430,https://dadosabertos.camara.leg.br/api/v2/deputados/141430,FELIPE BORNIER,PSD,https://dadosabertos.camara.leg.br/api/v2/partidos/36763,RJ,55,https://www.camara.leg.br/internet/deputado/bandep/141430.jpg,,2015-02-01,2017-02-02,2º Secretário,6
74693,https://dadosabertos.camara.leg.br/api/v2/deputados/74693,RODRIGO MAIA,DEM,https://dadosabertos.camara.leg.br/api/v2/partidos/36769,RJ,55,https://www.camara.leg.br/internet/deputado/bandep/74693.jpg,,2016-07-14,2017-02-02,Presidente,1
74693,https://dadosabertos.camara.leg.br/api/v2/deputados/74693,RODRIGO MAIA,DEM,https://dadosabertos.camara.leg.br/api/v2/partidos/36769,RJ,55,https://www.camara.leg.br/internet/deputado/bandep/74693.jpg,,2017-02-02,2019-01-31,Presidente,1
160633,https://dadosabertos.camara.leg.br/api/v2/deputados/160633,MANDETTA,DEM,https://dadosabertos.camara.leg.br/api/v2/partidos/36769,MS,55,https://www.camara.leg.br/internet/deputado/bandep/160633.jpg,,2015-02-01,2017-02-02,1º Suplente de Secretário,9
141411,https://dadosabertos.camara.leg.br/api/v2/deputados/141411,DAGOBERTO NOGUEIRA,PDT,https://dadosabertos.camara.leg.br/api/v2/partidos/36786,MS,55,https://www.camara.leg.br/internet/deputado/bandep/141411.jpg,,2017-02-02,2019-01-31,1º Suplente de Secretário,9
74383,https://dadosabertos.camara.leg.br/api/v2/deputados/74383,GIACOBO,PR,https://dadosabertos.camara.leg.br/api/v2/partidos/36814,PR,55,https://www.camara.leg.br/internet/deputado/bandep/74383.jpg,,2015-02-01,2017-02-02,2º Vice-Presidente,3
74383,https://dadosabertos.camara.leg.br/api/v2/deputados/74383,GIACOBO,PR,https://dadosabertos.camara.leg.br/api/v2/partidos/36814,PR,55,https://www.camara.leg.br/internet/deputado/bandep/74383.jpg,,2017-02-02,2019-01-31,1º Secretário,5
160576,https://dadosabertos.camara.leg.br/api/v2/deputados/160576,CÉSAR HALUM,PRB,https://dadosabertos.camara.leg.br/api/v2/partidos/36815,TO,55,https://www.camara.leg.br/internet/deputado/bandep/160576.jpg,,2017-02-02,2019-01-31,2º Suplente de Secretário,10
178842,https://dadosabertos.camara.leg.br/api/v2/deputados/178842,JHC,SD,https://dadosabertos.camara.leg.br/api/v2/partidos/36832,AL,55,https://www.camara.leg.br/internet/deputado/bandep/178842.jpg,,2017-02-02,2019-01-31,3º Secretário,7
74270,https://dadosabertos.camara.leg.br/api/v2/deputados/74270,GILBERTO NASCIMENTO,PSC,https://dadosabertos.camara.leg.br/api/v2/partidos/36833,SP,55,https://www.camara.leg.br/internet/deputado/bandep/74270.jpg,,2015-02-01,2017-02-02,2º Suplente de Secretário,10
74471,https://dadosabertos.camara.leg.br/api/v2/deputados/74471,ANDRÉ DE PAULA,PSD,https://dadosabertos.camara.leg.br/api/v2/partidos/36834,PE,55,https://www.camara.leg.br/internet/deputado/bandep/74471.jpg,,2018-05-22,2019-01-31,4º Secretário,8
141536,https://dadosabertos.camara.leg.br/api/v2/deputados/141536,RÔMULO GOUVEIA,PSD,https://dadosabertos.camara.leg.br/api/v2/partidos/36834,PB,55,https://www.camara.leg.br/internet/deputado/bandep/141536.jpg,,2017-02-02,2018-05-13,4º Secretário,8
141558,https://dadosabertos.camara.leg.br/api/v2/deputados/141558,WALDIR MARANHÃO,PP**,https://dadosabertos.camara.leg.br/api/v2/partidos/36835,MA,55,https://www.camara.leg.br/internet/deputado/bandep/141558.jpg,,2016-07-08,2016-07-14,Presidente,1
141558,https://dadosabertos.camara.leg.br/api/v2/deputados/141558,WALDIR MARANHÃO,PP**,https://dadosabertos.camara.leg.br/api/v2/partidos/36835,MA,55,https://www.camara.leg.br/internet/deputado/bandep/141558.jpg,,2015-02-01,2017-02-02,1º Vice-Presidente,2
