id_parl,cargo,siglaUf,municipio,anoInicio,anoFim,siglaPartidoEleicao,uriPartidoEleicao
220663,Deputado(a) Estadual,PE,,2007,2022,PSB,https://dadosabertos.camara.leg.br/api/v2/partidos/36832
220663,Vereador(a),PE,Recife,2000,2006,PP,https://dadosabertos.camara.leg.br/api/v2/partidos/37903
220664,Deputado(a) Estadual,PE,,2019,2023,PSC,https://dadosabertos.camara.leg.br/api/v2/partidos/36833
220651,Prefeito(a),SP,Itapetininga,2017,2020,MDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36899
220651,Prefeito(a),SP,Itapetininga,2021,2022,MDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36899
220665,Deputado(a) Estadual,PE,,2019,2023,PSC,https://dadosabertos.camara.leg.br/api/v2/partidos/36895
220673,Vereador(a),PA,São Félix do Xingu,2017,2019,PSC,https://dadosabertos.camara.leg.br/api/v2/partidos/36833
220673,Deputado(a) Estadual,PA,,2019,2023,PP,https://dadosabertos.camara.leg.br/api/v2/partidos/37903
220672,Vereador(a),PA,Santarém,2005,2008,DEM,https://dadosabertos.camara.leg.br/api/v2/partidos/36769
220672,Vereador(a),PA,Santarém,2009,2012,DEM,https://dadosabertos.camara.leg.br/api/v2/partidos/36769
220672,Vereador(a),PA,Santarém,2013,2016,DEM,https://dadosabertos.camara.leg.br/api/v2/partidos/36769
220672,Vereador(a),PA,Santarém,2017,2020,MDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36899
220675,Prefeito(a),PA,São Miguel do Guamá,2017,2020,PSDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36835
146949,Vereador(a),AL,Maceió,2009,2011,,https://dadosabertos.camara.leg.br/api/v2/partidos/null
220681,Deputado(a) Estadual,MA,,2015,2023,PODE,https://dadosabertos.camara.leg.br/api/v2/partidos/36896
220684,Deputado(a) Estadual,PR,,2015,2018,PTB,https://dadosabertos.camara.leg.br/api/v2/partidos/36845
220684,Deputado(a) Estadual,PR,,2019,2022,PTB,https://dadosabertos.camara.leg.br/api/v2/partidos/36845
220683,Deputado(a) Estadual,PR,,1995,2000,PSDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36835
220683,Vice-Prefeito(a),PR,Curitiba,2001,2004,PSDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36835
220683,Prefeito(a),PR,Curitiba,2005,2010,PSDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36835
220683,Governador(a),PR,,2011,2018,PSDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36835
220682,Deputado(a) Estadual,PR,,2003,2022,PT,https://dadosabertos.camara.leg.br/api/v2/partidos/36844
220682,Vereador(a),PR,Curitiba,1995,2002,PT,https://dadosabertos.camara.leg.br/api/v2/partidos/36844
220685,Deputado(a) Estadual,PR,,2015,2018,PSDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36835
220685,Deputado(a) Estadual,PR,,2019,2022,PSD,https://dadosabertos.camara.leg.br/api/v2/partidos/36834
220686,Deputado(a) Estadual,MA,,2019,2022,PSB,https://dadosabertos.camara.leg.br/api/v2/partidos/36832
220687,Deputado(a) Estadual,MA,,2019,2022,PDT,https://dadosabertos.camara.leg.br/api/v2/partidos/36786
220688,Prefeito(a),PI,São Francisco do Piauí,2009,2014,PT,https://dadosabertos.camara.leg.br/api/v2/partidos/36844
220688,Deputado(a) Estadual,PI,,2019,2022,PT,https://dadosabertos.camara.leg.br/api/v2/partidos/36844
220689,Prefeito(a),MA,Centro do Guilherme,2009,2012,PL,https://dadosabertos.camara.leg.br/api/v2/partidos/37906
220689,Prefeito(a),MA,Centro do Guilherme,2013,2016,PL,https://dadosabertos.camara.leg.br/api/v2/partidos/37906
220689,Deputado(a) Estadual,MA,,2019,2022,PL,https://dadosabertos.camara.leg.br/api/v2/partidos/37906
220690,Deputado(a) Estadual,BA,,2019,2022,PL,https://dadosabertos.camara.leg.br/api/v2/partidos/37906
220692,Deputado(a) Estadual,BA,,2019,2023,PCdoB,https://dadosabertos.camara.leg.br/api/v2/partidos/36779
220694,Prefeito(a),BA,Ribeira do Pombal,2013,2020,PSD,https://dadosabertos.camara.leg.br/api/v2/partidos/36834
220694,Vereador(a),BA,Ribeira do Pombal,2009,2012,PTC,https://dadosabertos.camara.leg.br/api/v2/partidos/36846
220698,Prefeito(a),PR,Apucarana,2013,2019,,https://dadosabertos.camara.leg.br/api/v2/partidos/null
220698,Prefeito(a),PR,Apucarana,2013,2016,PT,https://dadosabertos.camara.leg.br/api/v2/partidos/36844
220698,Prefeito(a),PR,Apucarana,2017,2019,PSD,https://dadosabertos.camara.leg.br/api/v2/partidos/36834
220695,Vereador(a),BA,Salvador,2017,2020,,https://dadosabertos.camara.leg.br/api/v2/partidos/null
220700,Prefeito(a),PI,Parnaíba,2013,2016,PT,https://dadosabertos.camara.leg.br/api/v2/partidos/36844
220700,Vice-Prefeito(a),PI,Parnaíba,2009,2012,PT,https://dadosabertos.camara.leg.br/api/v2/partidos/36844
220704,Vereador(a),PR,Curitiba,2021,2023,PT,https://dadosabertos.camara.leg.br/api/v2/partidos/36844
97822,Deputado(a) Distrital,DF,,2007,2010,PSDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36835
220712,Deputado(a) Estadual,AM,,2019,2023,UNIÃO,https://dadosabertos.camara.leg.br/api/v2/partidos/38009
220713,Deputado(a) Estadual,AM,,2019,2022,CIDADANIA,https://dadosabertos.camara.leg.br/api/v2/partidos/37905
220714,Prefeito(a),AM,Coari,2017,2020,PP,https://dadosabertos.camara.leg.br/api/v2/partidos/37903
220714,Prefeito(a),AM,Coari,2020,2020,PP,https://dadosabertos.camara.leg.br/api/v2/partidos/37903
220715,Vereador(a),AM,Manaus,2020,2023,PODE,https://dadosabertos.camara.leg.br/api/v2/partidos/36896
204353,Vereador(a),AP,Macapá,2013,2016,PRB,https://dadosabertos.camara.leg.br/api/v2/partidos/36815
204352,Deputado(a) Estadual,AP,,2007,2010,PSB,https://dadosabertos.camara.leg.br/api/v2/partidos/37999
204352,Governador(a),AP,,2011,2015,PSB,https://dadosabertos.camara.leg.br/api/v2/partidos/37999
204355,Deputado(a) Estadual,ES,,2007,2010,PDT,https://dadosabertos.camara.leg.br/api/v2/partidos/36786
204355,Deputado(a) Estadual,ES,,2011,2014,PDT,https://dadosabertos.camara.leg.br/api/v2/partidos/36786
204355,Deputado(a) Estadual,ES,,2015,2018,PDT,https://dadosabertos.camara.leg.br/api/v2/partidos/36786
204356,Deputado(a) Estadual,ES,,2015,2019,PRB,https://dadosabertos.camara.leg.br/api/v2/partidos/36815
204357,Vice-Governador(a),MS,,2015,2018,PSDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36835
204357,Vereador(a),MS,Campo Grande,2009,2014,PSDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36835
204358,Prefeito(a),MS,Terenos,2005,2008,,https://dadosabertos.camara.leg.br/api/v2/partidos/null
204358,Prefeito(a),MS,Terenos,2009,2012,,https://dadosabertos.camara.leg.br/api/v2/partidos/null
204358,Deputado(a) Estadual,MS,,2015,2018,,https://dadosabertos.camara.leg.br/api/v2/partidos/null
204359,Vereador(a),RO,Porto Velho,2013,2015,PTB,https://dadosabertos.camara.leg.br/api/v2/partidos/36845
204359,Deputado(a) Estadual,RO,Porto Velho,2015,2018,PTB,https://dadosabertos.camara.leg.br/api/v2/partidos/36845
204360,Vereador(a),RO,Ji-Paraná,2013,2016,PDT,https://dadosabertos.camara.leg.br/api/v2/partidos/36786
204360,Vereador(a),RO,Ji-Paraná,2017,2019,PDT,https://dadosabertos.camara.leg.br/api/v2/partidos/36786
204361,Deputado(a) Estadual,SC,,2011,2019,MDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36899
204361,Deputado(a) Estadual Suplente,SC,,2008,2008,MDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36899
204362,Deputado(a) Estadual,SC,,2015,2019,PSD,https://dadosabertos.camara.leg.br/api/v2/partidos/36834
204364,Deputado(a) Estadual,TO,,2007,,,https://dadosabertos.camara.leg.br/api/v2/partidos/null
204363,Deputado(a) Estadual,TO,,2011,2014,DEM,https://dadosabertos.camara.leg.br/api/v2/partidos/36769
204363,Deputado(a) Estadual,TO,,2015,2018,PSC,https://dadosabertos.camara.leg.br/api/v2/partidos/36895
204363,Deputado(a) Estadual Suplente,TO,,2003,2003,MDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36899
204363,Deputado(a) Estadual Suplente,TO,,2009,2010,MDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36899
204367,Vereador(a),SC,Criciúma,2013,2016,PP,https://dadosabertos.camara.leg.br/api/v2/partidos/36809
204367,Vereador(a),SC,Criciúma,2017,2018,PP,https://dadosabertos.camara.leg.br/api/v2/partidos/36809
204372,Deputado(a) Distrital,DF,,2015,2018,PRB,https://dadosabertos.camara.leg.br/api/v2/partidos/36815
204377,Deputado(a) Distrital,DF,,2023,,CIDADANIA,https://dadosabertos.camara.leg.br/api/v2/partidos/37905
204379,Vereador(a),AP,Macapá,2009,2016,PMDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36800
204379,Vereador(a),AP,Macapá,2017,2019,PROS,https://dadosabertos.camara.leg.br/api/v2/partidos/36763
204380,Deputado(a) Distrital,DF,Brasília,2011,2014,PMN,https://dadosabertos.camara.leg.br/api/v2/partidos/36801
204380,Deputado(a) Distrital,DF,Brasília,2015,2018,PDT,https://dadosabertos.camara.leg.br/api/v2/partidos/36786
204383,Deputado(a) Distrital,DF,,2011,2014,PDT,https://dadosabertos.camara.leg.br/api/v2/partidos/36786
204383,Deputado(a) Distrital,DF,,2015,2018,PV,https://dadosabertos.camara.leg.br/api/v2/partidos/36851
204384,Vereador(a),PR,Curitiba,2005,2006,PP,https://dadosabertos.camara.leg.br/api/v2/partidos/36809
204384,Deputado(a) Estadual,PR,,2007,2010,PP,https://dadosabertos.camara.leg.br/api/v2/partidos/36809
204384,Deputado(a) Estadual,PR,,2011,2014,PP,https://dadosabertos.camara.leg.br/api/v2/partidos/36809
204384,Deputado(a) Estadual,PR,,2015,2018,PSD,https://dadosabertos.camara.leg.br/api/v2/partidos/36834
171617,Vereador(a),AL,Maceió,1997,1998,PT,https://dadosabertos.camara.leg.br/api/v2/partidos/36844
171617,Deputado(a) Estadual,AL,,1999,2002,PT,https://dadosabertos.camara.leg.br/api/v2/partidos/36844
171617,Deputado(a) Estadual,AL,,2003,2006,PT,https://dadosabertos.camara.leg.br/api/v2/partidos/36844
171617,Deputado(a) Estadual,AL,,2007,2010,PT,https://dadosabertos.camara.leg.br/api/v2/partidos/36844
171618,Prefeito(a),BA,,1989,1992,PFL,https://dadosabertos.camara.leg.br/api/v2/partidos/36790
171618,Deputado(a) Estadual,BA,,1995,1999,PFL,https://dadosabertos.camara.leg.br/api/v2/partidos/36790
171618,Deputado(a) Estadual,BA,,1999,2003,PFL,https://dadosabertos.camara.leg.br/api/v2/partidos/36790
171618,Deputado(a) Estadual,BA,,2003,2007,PFL,https://dadosabertos.camara.leg.br/api/v2/partidos/36790
171618,Deputado(a) Estadual,BA,,2007,2011,PFL,https://dadosabertos.camara.leg.br/api/v2/partidos/36790
204388,Vereador(a),RS,Cruz Alta,1983,1986,MDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36899
204390,Vereador(a),GO,Aparecida de Goiânia,1977,1982,ARENA,https://dadosabertos.camara.leg.br/api/v2/partidos/36768
171621,Vereador(a),RJ,,1982,1988,PDS,https://dadosabertos.camara.leg.br/api/v2/partidos/36785
171621,Prefeito(a),RJ,,1989,1992,PMDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36800
171621,Prefeito(a),RJ,,1997,2000,PSDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36835
171621,Prefeito(a),RJ,,2005,2008,PV,https://dadosabertos.camara.leg.br/api/v2/partidos/36851
204391,Vereador(a),GO,Goiânia,1983,1988,PMDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36800
204391,Vereador(a),GO,Goiânia,1989,1992,PMDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36800
204391,Vereador(a),GO,Goiânia,1992,1994,PMDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36800
204391,Deputado(a) Estadual,GO,Goiânia,1995,1998,PMDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36800
204391,Deputado(a) Estadual,GO,Goiânia,1999,2003,PMDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36800
204391,Deputado(a) Estadual,GO,Goiânia,2003,2006,PMDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36800
204391,Deputado(a) Estadual,GO,Goiânia,2007,2010,PMDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36800
